"Taxon","Transect","Planar","Site","Rugosity","Urchin","Micro","PF","Depth","year","value","Code","genus","morphology","class","kg_m2_yr"
"Orbicella annularis",1,10.1,"STT",1.51,1.626,0.196,0.335,"deeper",2017,2.985074627,"ORA","Orbicella","massive","HC",16.67335
"Orbicella annularis",1,10.1,"STT",1.51,1.626,0.196,0.335,"deeper",2017,13.43283582,"ORA","Orbicella","massive","HC",16.67335
"Orbicella annularis",1,10.1,"STT",1.51,1.626,0.196,0.335,"deeper",2017,38.80597015,"ORA","Orbicella","massive","HC",16.67335
"Orbicella annularis",2,10.45,"STT",1.44,0.619,0.223,0.335,"deeper",2017,29.85074627,"ORA","Orbicella","massive","HC",16.67335
"Orbicella annularis",2,10.45,"STT",1.44,0.619,0.223,0.335,"deeper",2017,59.70149254,"ORA","Orbicella","massive","HC",16.67335
"Orbicella annularis",2,10.45,"STT",1.44,0.619,0.223,0.335,"deeper",2017,68.65671642,"ORA","Orbicella","massive","HC",16.67335
"Orbicella annularis",2,10.45,"STT",1.44,0.619,0.223,0.335,"deeper",2017,17.91044776,"ORA","Orbicella","massive","HC",16.67335
"Orbicella annularis",2,10.45,"STT",1.44,0.619,0.223,0.335,"deeper",2017,65.67164179,"ORA","Orbicella","massive","HC",16.67335
"Orbicella annularis",2,10.45,"STT",1.44,0.619,0.223,0.335,"deeper",2017,16.41791045,"ORA","Orbicella","massive","HC",16.67335
"Orbicella annularis",2,10.45,"STT",1.44,0.619,0.223,0.335,"deeper",2017,19.40298507,"ORA","Orbicella","massive","HC",16.67335
"Orbicella annularis",2,10.45,"STT",1.44,0.619,0.223,0.335,"deeper",2017,26.86567164,"ORA","Orbicella","massive","HC",16.67335
"Orbicella annularis",3,10.85,"STT",1.4,1.323,0.214,0.335,"deeper",2017,14.92537313,"ORA","Orbicella","massive","HC",16.67335
"Orbicella annularis",3,10.85,"STT",1.4,1.323,0.214,0.335,"deeper",2017,52.23880597,"ORA","Orbicella","massive","HC",16.67335
"Orbicella annularis",3,10.85,"STT",1.4,1.323,0.214,0.335,"deeper",2017,62.68656716,"ORA","Orbicella","massive","HC",16.67335
"Orbicella annularis",3,10.85,"STT",1.4,1.323,0.214,0.335,"deeper",2017,10.44776119,"ORA","Orbicella","massive","HC",16.67335
"Orbicella annularis",3,10.85,"STT",1.4,1.323,0.214,0.335,"deeper",2017,10.44776119,"ORA","Orbicella","massive","HC",16.67335
"Orbicella annularis",3,10.85,"STT",1.4,1.323,0.214,0.335,"deeper",2017,16.41791045,"ORA","Orbicella","massive","HC",16.67335
